,_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked,your_name
0,6161c792f4a68f52a28e007f,07ESgOxZPygbiRNArnYO8O,0.667,0.903,5,-2.827,0,0.0634,0.0355,0.0,0.44,0.672,154.992,223667,4,1,honeyd3wy
1,6161c792f4a68f52a28e0086,5BXr7hYZQOeRttkeWYTq5S,0.764,0.802,0,-4.217,1,0.0351,0.102,0.0,0.189,0.323,132.02,194080,4,1,honeyd3wy
2,6161b3e6f7207f813e54c797,0yFq4GHDqLfeceyAs63B3W,0.681,0.847,7,-2.462,1,0.0869,0.0306,0.0,0.0808,0.507,167.031,233013,4,1,honeyd3wy
3,6161b980425e092516eb7055,5aj0xPGiEUN3aI2oOYu14S,0.587,0.559,1,-7.742,1,0.0321,0.399,6.69e-06,0.0992,0.19,92.036,221173,4,0,honeyd3wy
4,6161c792f4a68f52a28e0089,7oQqeRSV38YqkRv2UGvmbS,0.666,0.925,6,-3.193,1,0.102,0.0162,0.0,0.203,0.798,124.001,175947,5,1,honeyd3wy
5,6161b3e6f7207f813e54c790,7oQqeRSV38YqkRv2UGvmbS,0.666,0.925,6,-3.193,1,0.102,0.0162,0.0,0.203,0.798,124.001,175947,5,1,honeyd3wy
6,6161c792f4a68f52a28e0095,0gEnVDMhKKjF1qXuvBwq91,0.61,0.905,9,-3.686,0,0.0369,0.0142,0.0,0.0592,0.521,122.012,199134,4,1,honeyd3wy
7,6161b980425e092516eb706b,6sMnjbLtQVzNJ5IfHZYzuk,0.532,0.299,10,-8.645,0,0.0311,0.527,3e-05,0.1,0.443,166.853,229160,3,0,honeyd3wy
8,6161b980425e092516eb7027,5kp3JbZL1ROMxc32pcpn29,0.519,0.833,7,-4.47,1,0.0344,0.303,1.39e-06,0.169,0.514,81.992,193929,4,0,honeyd3wy
9,6161c792f4a68f52a28e0090,0yFq4GHDqLfeceyAs63B3W,0.681,0.847,7,-2.462,1,0.0869,0.0306,0.0,0.0808,0.507,167.031,233013,4,1,honeyd3wy
10,6161b980425e092516eb7064,2X8xveXTek8difQMoHjDkl,0.533,0.877,1,-4.299,1,0.0366,0.0951,1.94e-06,0.143,0.601,160.003,220994,4,0,honeyd3wy
11,6161b3e6f7207f813e54c78f,6qcStcFkvl3XmlO5dNVeTJ,0.672,0.968,1,-2.636,0,0.131,0.0243,0.0,0.0586,0.473,129.971,195753,4,1,honeyd3wy
12,6161b980425e092516eb7059,3NJn7p1nrI3R8alivEMPwB,0.595,0.393,2,-9.909,1,0.0292,0.508,0.0,0.153,0.2,137.744,230827,4,0,honeyd3wy
13,6161b980425e092516eb7061,2spi7t1d6rjaBWVHkl9XJW,0.624,0.474,0,-5.152,1,0.0332,0.226,0.0,0.211,0.524,82.035,253084,4,0,honeyd3wy
14,6161c792f4a68f52a28e0091,2gvlPqqngL3BppFCwLXnVc,0.717,0.868,7,-3.073,1,0.04,0.438,0.0,0.148,0.552,100.005,215880,4,1,honeyd3wy
15,6161c792f4a68f52a28e0085,5iIpbD34k4wnuRMZDNnuWf,0.883,0.845,11,-2.069,1,0.0585,0.0161,0.00157,0.29,0.656,116.004,174173,4,1,honeyd3wy
16,6161b980425e092516eb7045,7uGOee7hJuojRb20CSKXAO,0.576,0.474,9,-5.504,1,0.0376,0.625,0.0,0.0943,0.355,143.998,228165,4,0,honeyd3wy
17,6161b980425e092516eb7050,0gV9XPgV9UuRBut2vKivqq,0.614,0.869,9,-3.234,1,0.0379,0.203,0.0,0.0903,0.506,82.021,194838,4,0,honeyd3wy
18,6161b980425e092516eb7049,4rQSLX4qMiUWL81hEQOuPY,0.701,0.68,2,-8.492,1,0.0264,0.303,1.51e-05,0.159,0.704,90.607,212587,4,0,honeyd3wy
19,6161b980425e092516eb702c,74EV2uPNEXmX3UGInlPxM3,0.52,0.689,7,-4.64,1,0.0307,0.367,2.1e-05,0.119,0.39,79.007,210200,4,0,honeyd3wy
